cuisines,latitude,longitude,item
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C37 Stir Fried Pork with Garlic
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C38 Sweet and Sour Pork with Pineapple
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C39 Deep Fried Pork
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C40 TwiceCooked Pork
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C41 Stir Fried Pork with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C42 Braised Meat Balls with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C43 Sauteed Shredded Pork with Sweet Bean Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C44 Shredded Pork with Garlic Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C45 Shredded Pork with Special Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C46 Shredded Pork with Bamboo Shoot
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C47 Shredded Pork with Dried Bean Curd
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C48 Homestyle Stir Fried Pork
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C49 Stir Fried Pork Slices with Vegetables and Eggs
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C50 Fried Pork Chops with Spiced Salt
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C51 Fried Pork Chops with Spicy Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C52 Braised Pork Chops with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C53 Stewed Pork Chops with Sweet and Sour Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C54 Pork Ribs with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C55 Sauteed Pork Kidney with Spicy Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C56 Quick Fried Sauteed Pork Kidney
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C57 Dry Stirred Pork Intestine
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C58 Quick Fried Intestine
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C59 Sauteed Intestines Manchurian Style
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C60 Fried Pork Intestines with Hot Pepper
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C61 Stir Fried Pork Liver
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C62 Quick Fried Intestines Liver and Tripe
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C63 Quick Fried Pork Tripe Pieces
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C64 Stir Fried Pork Eggplant with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C65 Stir Fried Pork with Dry Bean Curd and Jalapeno
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C66 Stir Fried Pork with Black Fungus and Cabbage
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C67 Stir Fried Clear Noodles with Sour Cabbage and Pork
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C68 Stir Fried Chicken with Bone in Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C69 Diced Chicken with Red Pepper in Chili Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C70 Crispy Duck
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C71 Stewed Chicken with Sweet Soy Sauce and Basil
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,C72 Shredded Chicken with Basil
