category,unigram,count
pizza,sausage,26
pizza,special,24
pizza,calzone,22
pizza,for,21
pizza,crab,19
pizza,crust,19
pizza,pasta,18
pizza,thin,18
pizza,large,17
pizza,beef,16
pizza,burger,16
pizza,meatball,14
pizza,sarpino's,14
pizza,deep,13
pizza,dish,13
pizza,homemade,13
pizza,parmesan,13
pizza,wings,13
pizza,baked,12
pizza,bread,12
pizza,buffalo,12
pizza,caesar,12
pizza,eggplant,12
pizza,fries,12
pizza,bbq,11
pizza,garlic,11
pizza,meat,11
pizza,snow,11
pizza,turkey,11
pizza,veggie,11
pizza,inch),10
pizza,ravioli,10
pizza,red,10
pizza,sicilian,10
pizza,steak,10
pizza,alfredo,9
pizza,double,9
pizza,fried,9
pizza,grilled,9
pizza,hot,9
pizza,soda,9
pizza,mozzarella,8
pizza,sauce,8
sandwiches,chicken,69
sandwiches,salad,29
sandwiches,sandwich,26
sandwiches,pc.,24
sandwiches,cheese,21
sandwiches,fries,20
sandwiches,sub,19
sandwiches,beef,17
sandwiches,tenders,15
sandwiches,turkey,15
sandwiches,dinner,14
sandwiches,steak,13
sandwiches,wings,13
sandwiches,burger,12
sandwiches,juice,12
sandwiches,italian,11
sandwiches,bread,10
sandwiches,shrimp,9
sandwiches,wrap,9
sandwiches,(lunch),8
sandwiches,bowl,8
sandwiches,burrito,8
sandwiches,waffle,8
sandwiches,cajun,7
sandwiches,on,7
sandwiches,panini,7
sandwiches,pizza,7
sandwiches,smoothie,7
sandwiches,buffalo,6
sandwiches,corned,6
sandwiches,garlic,6
sandwiches,gyro,6
sandwiches,puff,6
sandwiches,add,5
sandwiches,cheeseburger,5
sandwiches,chili,5
sandwiches,chocolate,5
sandwiches,gino's,5
sandwiches,grilled,5
sandwiches,ham,5
sandwiches,lb.,5
sandwiches,red,5
sandwiches,sausage,5
sandwiches,taco,5
sandwiches,veggie,5
sandwiches,alfredo,4
sandwiches,breaded,4
sandwiches,butter,4
sandwiches,chopped,4
sandwiches,el,4
chicken_wings,chicken,21
chicken_wings,piece,13
chicken_wings,wings,11
chicken_wings,crispy,10
chicken_wings,fried,10
chicken_wings,wingstop,10
chicken_wings,tenders,9
chicken_wings,fries,8
chicken_wings,(feeds,7
chicken_wings,combo,7
chicken_wings,pack,7
chicken_wings,dinner,6
chicken_wings,rice,5
chicken_wings,shrimp,5
chicken_wings,tender,5
chicken_wings,wing,5
chicken_wings,cajun,4
chicken_wings,cheese,4
chicken_wings,boneless,3
chicken_wings,coleslaw,3
chicken_wings,fish,3
chicken_wings,popcorn,3
chicken_wings,sandwich,3
chicken_wings,seasoned,3
chicken_wings,beans,2
chicken_wings,corn,2
chicken_wings,for,2
chicken_wings,hot,2
chicken_wings,house,2
chicken_wings,kimchi,2
chicken_wings,large,2
chicken_wings,lb,2
chicken_wings,meal,2
chicken_wings,onion,2
chicken_wings,only,2
chicken_wings,po'boy,2
chicken_wings,rings,2
chicken_wings,salad,2
chicken_wings,small,2
chicken_wings,strips,2
chicken_wings,-,1
chicken_wings,add,1
chicken_wings,apple,1
chicken_wings,avocado,1
chicken_wings,baked,1
chicken_wings,ball,1
chicken_wings,bibimbap,1
chicken_wings,biscuit,1
chicken_wings,bonchon,1
chicken_wings,bottled,1
salad,chicken,13
salad,fried,11
salad,grilled,6
salad,oz,6
salad,bacon,5
salad,burger,5
salad,cheese,4
salad,fries,4
salad,salad,4
salad,sauce,4
salad,shrimp,4
salad,soup,4
salad,ahi,3
salad,caesar,3
salad,crab,3
salad,eggs,3
salad,filet,3
salad,free,3
salad,french,3
salad,lobster,3
salad,original,3
salad,pork,3
salad,rib,3
salad,rice,3
salad,salmon,3
salad,sausage,3
salad,spinach,3
salad,steak,3
salad,tuna,3
salad,baby,2
salad,beef,2
salad,benedict,2
salad,cereal,2
salad,cfh,2
salad,chilled,2
salad,coleslaw,2
salad,combo,2
salad,corned,2
salad,ginger,2
salad,great,2
salad,hash,2
salad,horseradish,2
salad,house,2
salad,juice,2
salad,jumbo,2
salad,kimchi,2
salad,lamb,2
salad,mac,2
salad,onion,2
salad,oscar,2
ramen,rice,6
ramen,kuro,5
ramen,yakisoba,5
ramen,bowl,4
ramen,buta,4
ramen,chazuke,3
ramen,pork,3
ramen,toppings,3
ramen,turkey,3
ramen,bone,2
ramen,broth,2
ramen,kamo,2
ramen,sausage,2
ramen,spicy,2
ramen,(dipping,1
ramen,(duck,1
ramen,(pork),1
ramen,ajitsuke,1
ramen,bacon,1
ramen,beans,1
ramen,beef,1
ramen,belly,1
ramen,bits,1
ramen,bomb,1
ramen,breast),1
ramen,broccoli,1
ramen,buto,1
ramen,cat,1
ramen,chicken,1
ramen,chocolates,1
ramen,cider,1
ramen,clam,1
ramen,coppa,1
ramen,crab,1
ramen,da,1
ramen,dango,1
ramen,duck,1
ramen,ear,1
ramen,edamame,1
ramen,garlic,1
ramen,hot,1
ramen,japanese,1
ramen,loin,1
ramen,lover,1
ramen,meat,1
ramen,minced,1
